Row,ACO_results,BDA_results,BGWO1_results,BGWO2_results,BPSO_results,GA2_results,SCA_results,WOA_results
arrhythmia,0.288888888888889,0.256799283154122,0.288888888888889,0.244444444444444,0.255555555555556,0.277777777777778,0.288888888888889,0.322222222222222
colon,0,0.08683,0,0,0,0.0833333333333334,0.0833333333333334,0
dermatology,0,0.00323529411764706,0,0,0,0.0136986301369864,0,0.0136986301369864
glass,0,0.001,0,0,0,0,0,0
hepatitis,0.0645161290322581,0.0340407470288625,0.0645161290322581,0.0645161290322581,0.129032258064516,0.0645161290322581,0.0645161290322581,0.0645161290322581
horse_colic,0.10958904109589,0.109233891425672,0.26027397260274,0.150684931506849,0.123287671232877,0.136986301369863,0.10958904109589,0.0958904109589042
ilpd,0.232758620689655,0.241965517241379,0.25,0.25,0.21551724137931,0.224137931034483,0.21551724137931,0.224137931034483
ionosphere,0.0285714285714286,0.059218487394958,0.0428571428571428,0.0142857142857142,0.0714285714285714,0.1,0.0285714285714286,0.0428571428571428
leukemia,0,0.145813295615276,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.0714285714285714,0
libras_movement,0.138888888888889,0.196055555555556,0.111111111111111,0.111111111111111,0.166666666666667,0.277777777777778,0.194444444444444,0.194444444444444
lsvt,0.08,0.240664516129032,0.32,0.2,0.2,0.24,0.12,0.04
lung_discrete,0,0.0741604395604395,0.142857142857143,0.142857142857143,0,0.214285714285714,0.0714285714285714,0.0714285714285714
lympho,0,0.000555555555555556,0.0689655172413793,0.0689655172413793,0,0.0344827586206896,0,0
musk_1,0.0210526315789473,0.0348173747622067,0.0210526315789473,0,0.0105263157894737,0.0631578947368421,0.031578947368421,0.0736842105263158
primary_tumor,0.492537313432836,0.507682177348551,0.492537313432836,0.492537313432836,0.492537313432836,0.537313432835821,0.522388059701492,0.537313432835821
scadi,0.142857142857143,0.00292682926829268,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0.214285714285714,0.142857142857143
seeds,0.0714285714285714,0.00285714285714286,0,0,0.0476190476190477,0.0238095238095238,0.0238095238095238,0.0714285714285714
soybean,0.0819672131147541,0.101091334894614,0.0491803278688525,0.0491803278688525,0.131147540983607,0.0655737704918032,0.0983606557377049,0.131147540983607
spect_heart,0.150943396226415,0.0423584905660377,0.113207547169811,0.113207547169811,0.0943396226415094,0.0566037735849056,0.0377358490566038,0.150943396226415
tox_171,0.0882352941176471,0.09207980269352,0.205882352941177,0.117647058823529,0.205882352941177,0.0882352941176471,0.0882352941176471,0.0588235294117647
zoo,0,0.053875,0,0,0,0,0,0.05
